id,key,value,type
16173236,capital,2,regular
16173236,is_capital,country,regular
16173236,is_in,"National Capital Region, NCR, India",regular
16173236,continent,Asia,is_in
16173236,country,IN,is_in
16173236,country_code,IN,is_in
16173236,iso_3166_2,IN-DL,is_in
16173236,name,New Delhi,regular
16173236,ace,New delhi,name
16173236,af,Nieu-Delhi,name
16173236,am,ኒው ዴሊ,name
16173236,an,Nueva Delhi,name
16173236,ang,Nīƿe Delhi,name
16173236,ar,نيودلهي,name
16173236,bat-smg,Naujasės Delės,name
16173236,be,Нью-Дэлі,name
16173236,be-tarask,Нью-Дэлі,name
16173236,bg,Ню Делхи,name
16173236,bn,নতুন দিল্লি,name
16173236,bo,ནེའུ་དིལ་ལི།,name
16173236,bpy,নুৱা দিল্লী,name
16173236,br,New Delhi,name
16173236,bs,New Delhi,name
16173236,ca,Nova Delhi,name
16173236,cbk-zam,Nueva Delhi,name
16173236,ckb,نیودلھی,name
16173236,co,New Delhi,name
16173236,crh,Nyu Deli,name
16173236,cs,Nové Dillí,name
16173236,cy,Delhi Newydd,name
16173236,da,New Delhi,name
16173236,de,Neu-Delhi,name
16173236,diq,Delhiyo Newe,name
16173236,dv,ނިއުދިއްލީ,name
16173236,el,Νέο Δελχί,name
16173236,en,New Delhi,name
16173236,eo,Nov-Delhio,name
16173236,es,Nueva Delhi,name
16173236,et,New Delhi,name
16173236,eu,New Delhi,name
16173236,ext,Nueva Delhi,name
16173236,fa,دهلی نو,name
16173236,fi,New Delhi,name
16173236,fiu-vro,New Delhi,name
16173236,fr,New Delhi,name
16173236,fy,Nij Delly,name
16173236,ga,Nua-Deilí,name
16173236,gd,New Delhi,name
16173236,gl,Nova Deli - नई दिल्ली,name
16173236,gv,Delhi Noa,name
16173236,he,ניו דלהי,name
16173236,hi,नई दिल्ली,name
16173236,hif,New Delhi,name
16173236,hr,New Delhi,name
16173236,ht,Niou Deli,name
16173236,hu,Újdelhi,name
16173236,hy,Նյու Դելի,name
16173236,ia,Nove Delhi,name
16173236,id,New Delhi,name
16173236,io,Nova-Delhi,name
16173236,is,Nýja Delí,name
16173236,it,Nuova Delhi,name
16173236,ja,ニューデリー,name
16173236,jv,New Delhi,name
16173236,ka,ნიუ-დელი,name
16173236,kk,Нью-Дели,name
16173236,kl,New Delhi,name
16173236,kn,ಹೊಸ ದೆಹಲಿ,name
16173236,ko,뉴델리,name
16173236,ks,نٔو دلھی,name
16173236,ku,Delhiya Nû,name
16173236,la,Dellium Novum,name
16173236,lb,Nei-Delhi,name
16173236,lij,Neuva Delhi,name
16173236,lmo,New Delhi,name
16173236,lt,Naujasis Delis,name
16173236,lv,Ņūdeli,name
16173236,mg,New Delhi,name
16173236,mi,New Delhi,name
16173236,mk,Њу Делхи,name
