id,user,uid,version,changeset,timestamp
5873630,15Tr,1987359,78,36984586,2016-02-03T20:02:01Z
8117094,bindhu,2901516,11,39883022,2016-06-08T12:01:21Z
23089145,n'garh,600918,3,23794783,2014-07-03T12:08:17Z
23089146,apm-wa,1960718,7,22110361,2014-05-03T17:48:14Z
23133486,PlaneMad,1306,23,36588285,2016-01-15T09:58:27Z
23133600,Oberaffe,56597,10,12759129,2012-08-17T07:55:37Z
23133709,PlaneMad,1306,35,38125967,2016-03-28T17:48:21Z
23134098,Oberaffe,56597,33,34923951,2015-10-28T11:10:11Z
23134630,PlaneMad,1306,19,34067706,2015-09-16T18:00:56Z
23134680,PlaneMad,1306,8,34067706,2015-09-16T18:00:54Z
23134734,PlaneMad,1306,13,34016555,2015-09-14T09:40:36Z
23134746,PlaneMad,1306,17,21213131,2014-03-20T16:48:09Z
23134751,PlaneMad,1306,22,34055678,2015-09-16T07:08:38Z
23138288,OSMF Redaction Account,722137,13,12382367,2012-07-20T16:04:22Z
23151088,bindhu,2901516,16,39922658,2016-06-10T05:59:36Z
23151089,Chetan_Gowda,2644101,5,34098901,2015-09-18T09:26:05Z
23151090,bindhu,2901516,13,39923455,2016-06-10T06:58:22Z
23151091,bindhu,2901516,11,39923455,2016-06-10T06:58:24Z
23151094,bindhu,2901516,5,39922658,2016-06-10T05:59:35Z
23151095,marek kleciak,338611,3,12002410,2012-06-24T17:02:11Z
23151096,PlaneMad,1306,2,3107668,2009-11-13T17:44:08Z
23151097,bindhu,2901516,4,39922658,2016-06-10T05:59:38Z
23151098,marek kleciak,338611,3,12002410,2012-06-24T17:02:11Z
23151099,PlaneMad,1306,2,3107668,2009-11-13T17:44:07Z
23151100,n'garh,600918,4,21764571,2014-04-18T10:15:56Z
23151101,Oberaffe,56597,5,15692415,2013-04-11T17:29:36Z
23151102,bindhu,2901516,7,39922658,2016-06-10T05:59:36Z
23151254,PlaneMad,1306,26,34067706,2015-09-16T18:00:55Z
24537423,PlaneMad,1306,18,32535434,2015-07-10T06:36:03Z
24563333,Oberaffe,56597,13,24645134,2014-08-10T00:06:28Z
24563335,Oberaffe,56597,13,24645134,2014-08-10T00:06:28Z
24563336,Sakthi20,1587943,13,17518316,2013-08-26T14:19:38Z
24563338,charishma,3784841,15,39680933,2016-05-31T06:21:37Z
24563340,Oberaffe,56597,5,6251667,2010-11-01T06:20:25Z
24563343,n'garh,600918,5,30284831,2015-04-17T11:43:12Z
24563348,Warin61,1830192,16,27254217,2014-12-05T04:16:32Z
24563431,PlaneMad,1306,10,34016555,2015-09-14T09:40:36Z
24563432,PlaneMad,1306,8,34016555,2015-09-14T09:40:35Z
24563433,cdavila,26599,4,9664297,2011-10-26T21:20:16Z
24563435,PlaneMad,1306,10,34064651,2015-09-16T15:03:03Z
24563436,Sakthi20,1587943,5,17518940,2013-08-26T14:50:20Z
24563437,Oberaffe,56597,6,27199972,2014-12-03T13:32:21Z
24563438,Alban,2488,1,533381,2008-05-27T06:28:50Z
24563439,PlaneMad,1306,2,3111509,2009-11-14T09:27:47Z
24563440,Alban,2488,1,533381,2008-05-27T06:29:21Z
24563441,Alban,2488,1,533381,2008-05-27T06:29:21Z
24563442,Alban,2488,1,533381,2008-05-27T06:29:22Z
24563443,PlaneMad,1306,2,32799540,2015-07-22T11:38:40Z
24563444,PlaneMad,1306,2,3098584,2009-11-12T14:35:10Z
24563446,Oberaffe,56597,5,12762314,2012-08-17T13:00:08Z
24563447,Oberaffe,56597,4,5769136,2010-09-13T12:20:38Z
24563448,PlaneMad,1306,8,32538256,2015-07-10T09:25:29Z
24563449,PlaneMad,1306,10,34016555,2015-09-14T09:40:36Z
24576716,apm-wa,1960718,13,22621638,2014-05-29T16:16:58Z
24576720,apm-wa,1960718,12,22621783,2014-05-29T16:23:49Z
24576721,PlaneMad,1306,11,34014738,2015-09-14T07:47:40Z
24576723,PlaneMad,1306,9,32541954,2015-07-10T12:41:53Z
24576724,PlaneMad,1306,9,34014738,2015-09-14T07:47:40Z
24576727,PlaneMad,1306,7,32535290,2015-07-10T06:23:12Z
24576737,Oberaffe,56597,12,27199972,2014-12-03T13:32:24Z
24576739,PlaneMad,1306,7,32535290,2015-07-10T06:23:13Z
24576740,Oberaffe,56597,14,13677146,2012-10-29T18:13:15Z
24576744,PlaneMad,1306,5,32535290,2015-07-10T06:23:13Z
24576748,PlaneMad,1306,10,32541730,2015-07-10T12:29:41Z
24576752,PlaneMad,1306,12,32541730,2015-07-10T12:29:41Z
24576754,Oberaffe,56597,12,5768522,2010-09-13T10:51:56Z
24576757,Smallikarjuna,2900434,11,39904492,2016-06-09T09:33:14Z
24576760,PlaneMad,1306,6,6037524,2010-10-14T07:42:59Z
24577095,PlaneMad,1306,6,34046609,2015-09-15T18:35:12Z
24577096,PlaneMad,1306,15,34101319,2015-09-18T11:46:57Z
24577097,PlaneMad,1306,16,34064421,2015-09-16T14:49:29Z
